Winkel Item,Prys,Departement
Boerewors,R50.00,Vleis - Wors
Kaaswors,R50.00,Vleis - Wors
PepperKaas Varkwors,R50.00,Vleis - Wors
Varkwors,R50.00,Vleis - Wors
Mince,R50.00,Vleis - Kookvleis
Skaap Bene,R30.00,Vleis - Kookvleis
Hoender Pak,R50.00,Vleis - Hoender
Braai - Skaap,R50.00,Vleis - Braai
Braai - Vark,R50.00,Vleis - Braai
Lam Braaipak,R100.00,Vleis - Braai
Skaapstertjies,R75.00,Vleis - Braai
Skaap Skenkels,R50.00,Vleis - Braai
Vark Skenkels,R40.00,Vleis - Braai
Biltong p/kg,R240.00,Vleis - Biltong
Dro&euml;wors p/kg,R240.00,Vleis - Biltong
Haarslag,R15.00,Vleis - Afval
Hardevet,R10.00,Vleis - Afval
Lewer,R20.00,Vleis - Afval
Vetderm,R10.00,Vleis - Afval
Sagtevet,R75.00,Vleis - Afval
Sak hout,R50.00,Vleis - Aander
Beskuit,R30.00,Bakkery - Bakgoed
Mosbeskuit,R15.00,Bakkery - Bakgoed
Skuinskoek,R30.00,Bakkery - Bakgoed
Bruinbrood,R13.00,Bakkery - Brood
Witbrood,R13.00,Bakkery - Brood
Chedder kaas/ Gouda Kaas p/kg,R90.00,Bakkery - Dairy
